Tournament,Year,Team,Player,DOB,Batting_Style,Bowling_Style,First_Class_Team
ODI World Cup,2007,Sri Lanka,Chaminda Vaas,27 January 1974,Left-handed,Left-arm fast medium,Colts CC
ODI World Cup,2007,Sri Lanka,Dilhara Fernando,19 July 1979,Right-handed,Right-arm fast medium,Sinhalese SC
ODI World Cup,2007,Sri Lanka,Farveez Maharoof,7 September 1984,Right-handed,Right-arm fast medium,Bloomfield C&AC
ODI World Cup,2007,Sri Lanka,Kumar Sangakkara,27 October 1977,Left-handed,Wicket-keeper,Nondescripts CC
ODI World Cup,2007,Sri Lanka,Lasith Malinga,4 September 1983,Right-handed,Right-arm fast,Nondescripts CC
ODI World Cup,2007,Sri Lanka,Mahela Jayawardene (c),27 May 1977,Right-handed,Right-arm medium,Sinhalese SC
ODI World Cup,2007,Sri Lanka,Malinga Bandara,31 December 1979,Right-handed,Right-arm leg break,Ragama CC
ODI World Cup,2007,Sri Lanka,Marvan Atapattu,22 November 1970,Right-handed,Right-arm leg break,Sinhalese SC
ODI World Cup,2007,Sri Lanka,Muttiah Muralitharan,17 April 1972,Right-handed,Right-arm off break,Tamil Union C&AC
ODI World Cup,2007,Sri Lanka,Nuwan Kulasekara,22 July 1982,Right-handed,Right-arm fast medium,Colts CC
ODI World Cup,2007,Sri Lanka,Russel Arnold,25 October 1973,Left-handed,Right-arm off break,Nondescripts CC
ODI World Cup,2007,Sri Lanka,Sanath Jayasuriya,30 June 1969,Left-handed,Slow left-arm orthodox,Bloomfield C&AC
ODI World Cup,2007,Sri Lanka,Tillakaratne Dilshan,14 October 1976,Right-handed,Right-arm off break,Bloomfield C&AC
ODI World Cup,2007,Sri Lanka,Upul Tharanga,2 February 1985,Left-handed,,Nondescripts CC
ODI World Cup,2007,West Indies,Brian Lara (c),2 May 1969,Left-handed,Right-arm leg break googly,Trinidad and Tobago
ODI World Cup,2007,West Indies,Chris Gayle,21 September 1979,Left-handed,Right-arm off break,Jamaica
ODI World Cup,2007,West Indies,Corey Collymore,21 December 1977,Right-handed,Right-arm fast medium,Barbados
ODI World Cup,2007,West Indies,Daren Powell,15 April 1978,Right-handed,Right-arm fast medium,Jamaica
ODI World Cup,2007,West Indies,Denesh Ramdin,13 March 1985,Right-handed,Wicket-keeper,Trinidad and Tobago
ODI World Cup,2007,West Indies,Devon Smith,21 October 1981,Left-handed,Right-arm off break,Windward Islands
ODI World Cup,2007,West Indies,Dwayne Bravo,7 October 1983,Right-handed,Right-arm fast medium,Trinidad and Tobago Kent Spitfires
ODI World Cup,2007,West Indies,Dwayne Smith,12 April 1983,Right-handed,Right-arm medium,Barbados
ODI World Cup,2007,West Indies,Ian Bradshaw,9 July 1974,Left-handed,Left-arm fast medium,Barbados
ODI World Cup,2007,West Indies,Jerome Taylor,22 June 1984,Right-handed,Right-arm fast,Jamaica
ODI World Cup,2007,West Indies,Kieron Pollard,12 May 1987,Right-handed,Right-arm medium,Trinidad and Tobago
ODI World Cup,2007,West Indies,Lendl Simmons,25 January 1985,Right-handed,Right-arm medium fast,Trinidad and Tobago
ODI World Cup,2007,West Indies,Marlon Samuels,5 February 1981,Right-handed,Right-arm off break,Jamaica
ODI World Cup,2007,West Indies,Ramnaresh Sarwan,23 June 1980,Right-handed,Right-arm leg break,Guyana
ODI World Cup,2007,West Indies,Shivnarine Chanderpaul,18 August 1974,Left-handed,Right-arm leg break,Guyana
ODI World Cup,2007,Zimbabwe,Anthony Ireland,30 August 1984,Right-handed,Right-arm medium,Midlands
ODI World Cup,2007,Zimbabwe,Brendan Taylor,6 February 1983,Right-handed,Wicket-keeper,Mashonaland
ODI World Cup,2007,Zimbabwe,Christopher Mpofu,27 November 1985,Right-handed,Right-arm medium,Matabeleland
ODI World Cup,2007,Zimbabwe,Ed Rainsford,14 December 1984,Right-handed,Right-arm fast medium,Midlands
ODI World Cup,2007,Zimbabwe,Elton Chigumbura,14 March 1986,Right-handed,Right-arm medium,Manicaland
ODI World Cup,2007,Zimbabwe,Friday Kasteni,25 March 1988,Left-handed,Wicket-keeper,Midlands
ODI World Cup,2007,Zimbabwe,Gary Brent,13 January 1976,Right-handed,Right-arm medium fast,Manicaland
ODI World Cup,2007,Zimbabwe,Justice Chibhabha,6 September 1986,Right-handed,Right-arm medium,Mashonaland
ODI World Cup,2007,Zimbabwe,Keith Dabengwa,17 August 1980,Left-handed,Slow left-arm orthodox,Matabeleland
ODI World Cup,2007,Zimbabwe,Prosper Utseya (c),26 March 1985,Right-handed,Right-arm off break,Manicaland
ODI World Cup,2007,Zimbabwe,Sean Williams,26 September 1986,Left-handed,Slow left-arm orthodox,Matabeleland
ODI World Cup,2007,Zimbabwe,Stuart Matsikenyeri,3 May 1983,Right-handed,Right-arm off break,Manicaland
ODI World Cup,2007,Zimbabwe,Tawanda Mupariwa,16 April 1985,Right-handed,Right-arm fast medium,Matabeleland
ODI World Cup,2007,Zimbabwe,Terry Duffin,20 March 1982,Left-handed,Right-arm medium,Matabeleland
ODI World Cup,2007,Zimbabwe,Vusi Sibanda,10 October 1983,Right-handed,Right-arm medium,Midlands
ODI World Cup,2011,Australia,Brad Haddin,23 October 1977,Right-handed,Wicket-keeper,New South Wales
ODI World Cup,2011,Australia,Brett Lee,8 November 1976,Right-handed,Right-arm fast,New South Wales
ODI World Cup,2011,Australia,Callum Ferguson,3 May 1984,Right-handed,Right-arm medium,South Australia
ODI World Cup,2011,Australia,Cameron White,18 August 1983,Right-handed,Right-arm leg break,Victoria
ODI World Cup,2011,Australia,David Hussey,15 July 1977,Right-handed,Right-arm off break,Victoria
ODI World Cup,2011,Australia,Doug Bollinger,24 July 1981,Left-handed,Left-arm fast medium,New South Wales
ODI World Cup,2011,Australia,Jason Krejza,14 January 1983,Right-handed,Right-arm off break,Tasmania
ODI World Cup,2011,Australia,John Hastings,4 November 1985,Right-handed,Right-arm fast medium,Victoria
ODI World Cup,2011,Australia,Michael Clarke (vc),2 April 1981,Right-handed,Slow left-arm orthodox,New South Wales
ODI World Cup,2011,Australia,Mitchell Johnson,2 November 1981,Left-handed,Left-arm fast,Queensland
ODI World Cup,2011,Australia,Ricky Ponting (c),19 December 1974,Right-handed,Right-arm medium,Tasmania
ODI World Cup,2011,Australia,Shane Watson,17 June 1981,Right-handed,Right-arm fast medium,Queensland
ODI World Cup,2011,Australia,Shaun Tait,22 February 1983,Right-handed,Right-arm fast,South Australia
ODI World Cup,2011,Australia,Steven Smith,2 June 1989,Right-handed,Right-arm leg break,New South Wales
ODI World Cup,2011,Australia,Tim Paine,8 December 1984,Right-handed,Wicket-keeper,Tasmania
ODI World Cup,2011,Bangladesh,Abdur Razzak,15 June 1982,Right-handed,Slow left-arm orthodox,Khulna
ODI World Cup,2011,Bangladesh,Imrul Kayes,2 February 1987,Left-handed,Right-arm off break,Khulna
ODI World Cup,2011,Bangladesh,Jahurul Islam,5 December 1986,Right-handed,Wicket-keeper,Rajshahi
ODI World Cup,2011,Bangladesh,Junaid Siddique,12 January 1987,Left-handed,-,Rajshahi
ODI World Cup,2011,Bangladesh,Mahmudullah,4 February 1986,Right-handed,Right-arm off break,Dhaka
ODI World Cup,2011,Bangladesh,Mohammad Ashraful,7 July 1984,Right-handed,Right-arm leg break,Dhaka
ODI World Cup,2011,Bangladesh,Mushfiqur Rahim,9 May 1988,Right-handed,Wicket-keeper,Rajshahi
ODI World Cup,2011,Bangladesh,Naeem Islam,4 September 1986,Right-handed,Right-arm off break,Rajshahi
ODI World Cup,2011,Bangladesh,Nazmul Hossain,6 December 1986,Right-handed,Right-arm fast medium,Rajshahi
ODI World Cup,2011,Bangladesh,Raqibul Hasan,4 September 1987,Right-handed,Right-arm off break,Barisal
ODI World Cup,2011,Bangladesh,Rubel Hossain,1 January 1990,Right-handed,Right-arm fast,Chittagong
ODI World Cup,2011,Bangladesh,Shafiul Islam,21 October 1989,Right-handed,Right-arm fast medium,Rajshahi
ODI World Cup,2011,Bangladesh,Shakib Al Hasan (c),24 March 1987,Left-handed,Slow left-arm orthodox,Khulna
ODI World Cup,2011,Bangladesh,Suhrawadi Shuvo,12 September 1987,Right-handed,Slow left-arm orthodox,Dhaka
ODI World Cup,2011,Bangladesh,Tamim Iqbal,20 March 1989,Left-handed,-,Chittagong
ODI World Cup,2011,Canada,Ashish Bagai (c),26 January 1982,Right-handed,Wicket-keeper,Toronto
ODI World Cup,2011,Canada,Balaji Rao,6 April 1980,Right-handed,Right-arm off break,-
ODI World Cup,2011,Canada,Harvir Baidwan,15 August 1987,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,Canada,Henry Osinde,17 October 1978,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,Canada,Hiral Patel,3 March 1987,Right-handed,Right-arm medium,-
ODI World Cup,2011,Canada,Jimmy Hansra,25 August 1988,Right-handed,Right-arm medium,-
ODI World Cup,2011,Canada,John Davison,9 May 1970,Right-handed,Right-arm off break,Toronto
ODI World Cup,2011,Canada,Khurram Chohan,5 September 1984,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,Canada,Nitish Kumar,21 October 1994,Right-handed,Right-arm medium,-
ODI World Cup,2011,Canada,Parth Desai,12 May 1985,Right-handed,Right-arm off break,-
ODI World Cup,2011,Canada,Rizwan Cheema (vc),6 November 1978,Right-handed,Right-arm medium,Toronto
ODI World Cup,2011,Canada,Ruvindu Gunasekera,5 June 1985,Left-handed,-,-
ODI World Cup,2011,Canada,Tyson Gordon,20 April 1990,Right-handed,Right-arm medium,-
ODI World Cup,2011,Canada,Umar Bhatti,4 January 1984,Left-handed,Left-arm medium,-
ODI World Cup,2011,Canada,Zubin Surkari,8 March 1979,Right-handed,Right-arm medium,-
ODI World Cup,2011,England,Ajmal Shahzad,27 July 1985,Right-handed,Right-arm fast medium,Yorkshire
ODI World Cup,2011,England,Andrew Strauss (c),2 March 1977,Left-handed,Right-arm medium,Middlesex
ODI World Cup,2011,England,Craig Kieswetter,30 November 1987,Right-handed,Wicket-keeper,Somerset
ODI World Cup,2011,England,Eoin Morgan,10 September 1986,Left-handed,Right-arm medium,Middlesex
ODI World Cup,2011,England,Graeme Swann,24 March 1979,Right-handed,Right-arm off break,Nottinghamshire
ODI World Cup,2011,England,Ian Bell,11 April 1982,Right-handed,Right-arm medium,Warwickshire
ODI World Cup,2011,England,James Anderson,30 July 1982,Left-handed,Right-arm fast medium,Lancashire
ODI World Cup,2011,England,Jonathan Trott,22 April 1981,Right-handed,Right-arm medium,Warwickshire
ODI World Cup,2011,England,Kevin Pietersen,27 June 1980,Right-handed,Right-arm off break,Surrey
ODI World Cup,2011,England,Luke Wright,7 March 1985,Right-handed,Right-arm medium,Sussex
ODI World Cup,2011,England,Matt Prior,26 February 1982,Right-handed,Wicket-keeper,Sussex
ODI World Cup,2011,England,Paul Collingwood,26 May 1976,Right-handed,Right-arm medium fast,Durham
ODI World Cup,2011,England,Steven Finn,4 April 1989,Right-handed,Right-arm fast,Middlesex
ODI World Cup,2011,England,Stuart Broad,24 June 1986,Left-handed,Right-arm fast medium,Nottinghamshire
ODI World Cup,2011,England,Tim Bresnan,28 February 1985,Right-handed,Right-arm fast medium,Yorkshire
ODI World Cup,2011,India,Ashish Nehra,29 April 1979,Right-handed,Left-arm fast medium,Delhi
ODI World Cup,2011,India,Gautam Gambhir,14 October 1981,Left-handed,-,Delhi
ODI World Cup,2011,India,Harbhajan Singh,3 July 1980,Right-handed,Right-arm off break,Punjab
ODI World Cup,2011,India,MS Dhoni (c),7 July 1981,Right-handed,Wicket-keeper,Jharkhand
ODI World Cup,2011,India,Munaf Patel,12 July 1983,Right-handed,Right-arm fast medium,Gujarat
ODI World Cup,2011,India,Piyush Chawla,24 December 1988,Left-handed,Right-arm leg break,Uttar Pradesh
ODI World Cup,2011,India,Ravichandran Ashwin,17 September 1986,Right-handed,Right-arm off break,Tamil Nadu
ODI World Cup,2011,India,S Sreesanth,6 February 1983,Right-handed,Right-arm fast medium,Kerala
ODI World Cup,2011,India,Sachin Tendulkar,24 April 1973,Right-handed,Right-arm leg break,Mumbai
ODI World Cup,2011,India,Suresh Raina,27 November 1986,Left-handed,Right-arm off break,Uttar Pradesh
ODI World Cup,2011,India,Virat Kohli,5 November 1988,Right-handed,Right-arm medium,Delhi
ODI World Cup,2011,India,Virender Sehwag (vc),20 October 1978,Right-handed,Right-arm off break,Delhi
ODI World Cup,2011,India,Yusuf Pathan,17 November 1982,Right-handed,Right-arm off break,Baroda
ODI World Cup,2011,India,Yuvraj Singh,12 December 1981,Left-handed,Slow left-arm orthodox,Punjab
ODI World Cup,2011,India,Zaheer Khan,7 October 1978,Right-handed,Left-arm fast medium,Mumbai
ODI World Cup,2011,Ireland,Albert van der Merwe,11 November 1980,Right-handed,Right-arm off break,-
ODI World Cup,2011,Ireland,Alex Cusack,29 September 1980,Right-handed,Right-arm medium,-
ODI World Cup,2011,Ireland,Andre Botha,12 September 1975,Left-handed,Right-arm medium,-
ODI World Cup,2011,Ireland,Andrew White,3 July 1980,Right-handed,Right-arm off break,-
ODI World Cup,2011,Ireland,Boyd Rankin,5 July 1984,Right-handed,Right-arm fast medium,Derbyshire
ODI World Cup,2011,Ireland,Ed Joyce,22 September 1978,Left-handed,Right-arm medium,Sussex
ODI World Cup,2011,Ireland,Gary Wilson,5 February 1986,Right-handed,Wicket-keeper,-
ODI World Cup,2011,Ireland,George Dockrell,22 July 1992,Left-handed,Slow left-arm orthodox,-
ODI World Cup,2011,Ireland,John Mooney,10 February 1982,Left-handed,Right-arm medium,-
ODI World Cup,2011,Ireland,Kevin O'Brien,4 March 1984,Right-handed,Right-arm medium fast,-
ODI World Cup,2011,Ireland,Niall O'Brien,8 November 1981,Right-handed,Wicket-keeper,Leicestershire
ODI World Cup,2011,Ireland,Nigel Jones,22 November 1985,Right-handed,Right-arm off break,-
ODI World Cup,2011,Ireland,Paul Stirling,3 September 1990,Right-handed,Right-arm off break,Middlesex
ODI World Cup,2011,Ireland,Trent Johnston,29 April 1974,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,Ireland,William Porterfield (c),6 September 1984,Left-handed,-,Warwickshire
ODI World Cup,2011,Kenya,Alex Obanda,8 January 1988,Right-handed,-,-
ODI World Cup,2011,Kenya,Collins Obuya,27 July 1981,Right-handed,Right-arm leg break,-
ODI World Cup,2011,Kenya,David Obuya,14 August 1979,Right-handed,Wicket-keeper,-
ODI World Cup,2011,Kenya,Elijah Otieno,3 March 1975,Right-handed,Right-arm medium fast,-
ODI World Cup,2011,Kenya,Hiren Varaiya,9 April 1984,Right-handed,Slow left-arm orthodox,-
ODI World Cup,2011,Kenya,James Ngoche,15 April 1990,Left-handed,Slow left-arm orthodox,-
ODI World Cup,2011,Kenya,Jimmy Kamande (c),12 December 1978,Right-handed,Right-arm off break,-
ODI World Cup,2011,Kenya,Morris Ouma,8 November 1982,Right-handed,Wicket-keeper,-
ODI World Cup,2011,Kenya,Nehemiah Odhiambo,7 August 1983,Right-handed,Right-arm medium fast,-
ODI World Cup,2011,Kenya,Rakep Patel,31 October 1990,Right-handed,Right-arm off break,-
ODI World Cup,2011,Kenya,Seren Waters,14 June 1988,Right-handed,-,-
ODI World Cup,2011,Kenya,Shem Ngoche,20 August 1985,Right-handed,Slow left-arm orthodox,-
ODI World Cup,2011,Kenya,Steve Tikolo,25 June 1971,Right-handed,Right-arm medium,-
ODI World Cup,2011,Kenya,Tanmay Mishra,22 December 1986,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,Kenya,Thomas Odoyo,12 May 1978,Right-handed,Right-arm medium fast,-
ODI World Cup,2011,Netherlands,Adeel Raja,15 August 1980,Right-handed,Right-arm off break,-
ODI World Cup,2011,Netherlands,Alexei Kervezee,11 September 1989,Right-handed,-,Worcestershire
ODI World Cup,2011,Netherlands,Atse Buurman,4 May 1978,Right-handed,Wicket-keeper,-
ODI World Cup,2011,Netherlands,Bas Zuiderent,3 March 1977,Right-handed,Right-arm medium,-
ODI World Cup,2011,Netherlands,Bernard Loots,3 January 1985,Right-handed,Right-arm medium,-
ODI World Cup,2011,Netherlands,Bradley Kruger,14 June 1985,Right-handed,Right-arm medium,-
ODI World Cup,2011,Netherlands,Edgar Schiferli,17 May 1976,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,Netherlands,Eric Szwarczynski,13 February 1983,Right-handed,Right-arm medium,-
ODI World Cup,2011,Netherlands,Mudassar Bukhari,5 February 1982,Right-handed,Right-arm medium fast,-
ODI World Cup,2011,Netherlands,Peter Borren (c),25 November 1983,Right-handed,Right-arm medium,-
ODI World Cup,2011,Netherlands,Pieter Seelaar,8 January 1987,Left-handed,Slow left-arm orthodox,-
ODI World Cup,2011,Netherlands,Ryan ten Doeschate,30 June 1980,Right-handed,Right-arm medium fast,Essex
ODI World Cup,2011,Netherlands,Tom Cooper,26 February 1986,Right-handed,Right-arm leg break,-
ODI World Cup,2011,Netherlands,Tom de Grooth,24 January 1988,Left-handed,-,-
ODI World Cup,2011,Netherlands,Wesley Barresi,3 July 1984,Right-handed,Wicket-keeper,-
ODI World Cup,2011,New Zealand,Brendon McCullum,27 September 1981,Right-handed,Wicket-keeper,Otago
ODI World Cup,2011,New Zealand,Daniel Vettori (c),27 January 1979,Left-handed,Slow left-arm orthodox,Northern Districts
ODI World Cup,2011,New Zealand,Hamish Bennett,27 November 1987,Right-handed,Right-arm fast medium,-
ODI World Cup,2011,New Zealand,Jacob Oram,28 July 1978,Left-handed,Right-arm fast medium,Central Districts
ODI World Cup,2011,New Zealand,James Franklin,7 November 1980,Left-handed,Left-arm fast medium,Wellington
ODI World Cup,2011,New Zealand,Jamie How,19 October 1981,Right-handed,-,Central Districts
ODI World Cup,2011,New Zealand,Jesse Ryder,6 August 1984,Left-handed,Right-arm medium,Wellington
ODI World Cup,2011,New Zealand,Kane Williamson,8 August 1990,Right-handed,Right-arm off break,Northern Districts
ODI World Cup,2011,New Zealand,Kyle Mills,15 March 1979,Right-handed,Right-arm fast medium,Auckland
ODI World Cup,2011,New Zealand,Luke Woodcock,16 November 1978,Left-handed,Slow left-arm orthodox,Wellington
ODI World Cup,2011,New Zealand,Martin Guptill,30 September 1986,Right-handed,Right-arm medium,Auckland
ODI World Cup,2011,New Zealand,Nathan McCullum,12 September 1980,Right-handed,Right-arm off break,Otago
ODI World Cup,2011,New Zealand,Ross Taylor,8 March 1984,Right-handed,Right-arm off break,Central Districts
ODI World Cup,2011,New Zealand,Scott Styris,10 July 1975,Right-handed,Right-arm medium,Auckland
ODI World Cup,2011,New Zealand,Tim Southee,11 December 1988,Right-handed,Right-arm fast medium,Northern Districts
ODI World Cup,2011,Pakistan,Abdul Razzaq,2 December 1979,Right-handed,Right-arm fast medium,Sui Northern Gas
ODI World Cup,2011,Pakistan,Abdur Rehman,1 March 1980,Left-handed,Slow left-arm orthodox,Sui Southern Gas
ODI World Cup,2011,Pakistan,Ahmed Shehzad,23 October 1991,Right-handed,Right-arm off break,Lahore
ODI World Cup,2011,Pakistan,Asad Shafiq,28 January 1986,Right-handed,Right-arm off break,Karachi
ODI World Cup,2011,Pakistan,Junaid Khan,24 December 1989,Right-handed,Left-arm fast medium,Abbottabad
ODI World Cup,2011,Pakistan,Kamran Akmal,13 January 1982,Right-handed,Wicket-keeper,Lahore
ODI World Cup,2011,Pakistan,Misbah-ul-Haq (vc),28 May 1974,Right-handed,Right-arm leg break,Sui Northern Gas
ODI World Cup,2011,Pakistan,Mohammad Hafeez,17 October 1980,Right-handed,Right-arm off break,Faisalabad
ODI World Cup,2011,Pakistan,Saeed Ajmal,14 October 1977,Right-handed,Right-arm off break,Faisalabad
ODI World Cup,2011,Pakistan,Shahid Afridi (c),1 March 1980,Right-handed,Right-arm leg break,Karachi
ODI World Cup,2011,Pakistan,Shoaib Akhtar,13 August 1975,Right-handed,Right-arm fast,Rawalpindi
ODI World Cup,2011,Pakistan,Umar Akmal,26 May 1990,Right-handed,Wicket-keeper,Lahore
ODI World Cup,2011,Pakistan,Umar Gul,14 April 1984,Right-handed,Right-arm fast medium,Peshawar
ODI World Cup,2011,Pakistan,Wahab Riaz,28 June 1985,Left-handed,Left-arm fast,Lahore
ODI World Cup,2011,Pakistan,Younis Khan,29 November 1977,Right-handed,Right-arm leg break,Peshawar
ODI World Cup,2011,South Africa,AB de Villiers,17 February 1984,Right-handed,Wicket-keeper,Titans
